Title,Impact factor,Publisher,Categories
Scrinium,,,
Script and Print,,,
SCRIPTA,,,
Scripta Botanica Belgica,,,
Scripta Classica Israelica,,,
Scripta Judaica Cracoviensia,,,
Scripta Materialia,,,
Scripta Mediaevalia,,,
Scripta Nova,,,
Scripta Theologica,,,
Scriptorium,,,
Scrutiny2,,,
Sculpture Journal,,,
Sculpture Review,,,
SDHM Structural Durability and Health Monitoring,,,
"SDN-NFV 2019 - Proceedings of the ACM International Workshop on Security in Software Defined Networks and Network Function Virtualization	 co-located with CODASPY 2019",,,
"SDN-NFVSec 2017 - Proceedings of the ACM International Workshop on Security in Software Defined Networks and Network Function Virtualization	 co-located with CODASPY 2017",,,
SDSS 2019 - International Colloquium on Stability and Ductility of Steel Structures,,,
Sea Technology,,,
SEAISI Quarterly (South East Asia Iron and Steel Institute),,,
Sealing Technology,,,
SEARCH (Malaysia),,,
Second Language Learning and Teaching,,,
Second Language Research,,,
"SecSoN 2018 - Proceedings of the 2018 Workshop on Security in Softwarized Networks: Prospects and Challenges	 Part of SIGCOMM 2018",,,
"Secuencia (Mexico City	 Mexico)",,,
Secularism and Nonreligion,,,
Security and Communication Networks,,,
Security and Human Rights,,,
Security Dialogue,,,
Security Journal,,,
Security Studies,,,
Sedimentary Geology,,,
Sedimentology,,,
Seed Science and Technology,,,
Seed Science Research,,,
Sefarad,,,
"SEFI 47th Annual Conference: Varietas Delectat... Complexity is the New Normality	 Proceedings",,,
SEG International Exposition and Annual Meeting 2019,,,
SEG Technical Program Expanded Abstracts,,,
"SEG/AAPG/EAGE/SPE Research and Development Petroleum Conference and Exhibition 2018	 RDP 2018",,,
SEI Technical Review,,,
Seibutsu-kogaku Kaishi,,,
Seikagaku. The Journal of Japanese Biochemical Society,,,
"Seismic Performance of Soil-Foundation-Structure Systems - Selected papers from the International Workshop on Seismic Performance of Soil-foundation-structure systems	 2016",,,
Seismological Research Letters,,,
Seizure : the journal of the British Epilepsy Association,,,
Seksuologia Polska,,,
SEL - Studies in English Literature,,,
"Selecta Mathematica	 New Series",,,
"Selected Papers - 2017 4th International Conference Computer Technology in Russia and in the Former Soviet Union""	 SoRuCom 2017""",,,
"Selenium Research for Environment and Human Health: Perspectives	 Technologies and Advancements - Proceedings of the 6th International Conference on Selenium in the Environment and Human Health	 2019",,,
Self and Identity,,,
"SelfDN 2018 - Proceedings of the 2018 Afternoon Workshop on Self-Driving Networks	 Part of SIGCOMM 2018",,,
Sel'skokhozyaistvennaya Biologiya,,,
Selvedge,,,
"SEM4HPC 2017 - Proceedings of the 2017 Workshop on Software Engineering Methods for Parallel and High Performance Applications	 co-located with HPDC 2017",,,
SEMA SIMAI Springer Series,,,
Semantic Web,,,
Semergen,,,
"Semiconductor Physics	 Quantum Electronics and Optoelectronics",,,
Semiconductor Science and Technology,,,
Semiconductors,,,
Semiconductors and Semimetals,,,
Semigroup Forum,,,
Semina:Ciencias Agrarias,,,
Seminar - A Journal of Germanic Studies,,,
Seminars in Arthritis and Rheumatism,,,
Seminars in Arthroplasty,,,
Seminars in Cancer Biology,,,
Seminars in Cardiothoracic and Vascular Anesthesia,,,
Seminars in Cell and Developmental Biology,,,
Seminars in Colon and Rectal Surgery,,,
Seminars in Cutaneous Medicine and Surgery,,,
Seminars in Diagnostic Pathology,,,
Seminars in Dialysis,,,
Seminars in Fetal and Neonatal Medicine,,,
Seminars in Hearing,,,
Seminars in Hematology,,,
Seminars in Immunology,,,
Seminars in Immunopathology,,,
Seminars in Interventional Radiology,,,
Seminars in Liver Disease,,,
Seminars in Musculoskeletal Radiology,,,
Seminars in Nephrology,,,
Seminars in Neurology,,,
Seminars in Nuclear Medicine,,,
Seminars in Oncology,,,
Seminars in Oncology Nursing,,,
Seminars in Ophthalmology,,,
Seminars in Orthodontics,,,
Seminars in Pediatric Neurology,,,
Seminars in Pediatric Surgery,,,
Seminars in Perinatology,,,
Seminars in Plastic Surgery,,,
Seminars in Radiation Oncology,,,
Seminars in Reproductive Medicine,,,
Seminars in Respiratory and Critical Care Medicine,,,
Seminars in Roentgenology,,,
Seminars in Speech and Language,,,
Seminars in Spine Surgery,,,
Seminars in Thoracic and Cardiovascular Surgery,,,
Seminars in Thrombosis and Hemostasis,,,
"Seminars in Ultrasound	 CT and MRI",,,
Seminars in Vascular Surgery,,,
Semiotica,,,
Sendebar,,,
"Senior care pharmacist	 The",,,
Senses and Society,,,
Sensing and Bio-Sensing Research,,,
Sensing and Imaging,,,
Sensor Review,,,
Sensoren und Messsysteme - Beitrage der 19. ITG/GMA-Fachtagung,,,
SENSORNETS 2019 - Proceedings of the 8th International Conference on Sensor Networks,,,
Sensors,,,
"Sensors and Actuators	 A: Physical",,,
"Sensors and Actuators	 B: Chemical",,,
Sensors and Materials,,,
SenSys 2018 - Proceedings of the 16th Conference on Embedded Networked Sensor Systems,,,
SenSys 2019 - Proceedings of the 17th Conference on Embedded Networked Sensor Systems,,,
"SenSys-ML 2019 - Proceedings of the 1st Workshop on Machine Learning on Edge in Sensor Systems	 Part of SenSys 2019",,,
Sententiae,,,
Seoul Journal of Economics,,,
Seoul Journal of Korean Studies,,,
Separation and Purification Reviews,,,
Separation and Purification Technology,,,
Separation Science and Technology,,,
Separations,,,
Separations Division 2017 - Core Programming Area at the 2017 AIChE Annual Meeting,,,
"Separations Division 2019	 Held at the 2019 AIChE Spring Meeting and 15th Global Congress on Process Safety",,,
SEPM Special Publications,,,
"SEPS 2017 - Proceedings of the 4th ACM SIGPLAN International Workshop on Software Engineering for Parallel Systems	 co-located with SPLASH 2017",,,
Sequential Analysis,,,
Serangga,,,
Serbian Astronomical Journal,,,
Serbian Journal of Electrical Engineering,,,
Serbian Journal of Experimental and Clinical Research,,,
Serbian Journal of Management,,,
"SERF 2017 - Proceedings of the 1st ACM SIGSOFT International Workshop on Software Engineering and Digital Forensics	 Co-located with FSE 2017",,,
"SERIAL 2017 - 1st Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers	 Colocated with ACM/IFIP/USENIX Middleware 2017 Conference",,,
SERIAL 2018 - Proceedings of the 2018 Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,,,
SERIAL 2019 - Proceedings of the 2019 3rd Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,,,
Serials Librarian,,,
Serials Review,,,
Serie Correlacion Geologica,,,
SERIEs,,,
"Series on Analysis	 Applications and Computation",,,
Series on Biomechanics,,,
Series on Chinese Economics Research,,,
Series on Concrete and Applicable Mathematics,,,
Series on Contemporary China,,,
Series on Knots and Everything,,,
Series on Number Theory and Its Applications,,,
Service Business,,,
Service Industries Journal,,,
Service Oriented Computing and Applications,,,
Service Science,,,
Services Marketing Quarterly,,,
SESAR Innovation Days,,,
SEST 2019 - 2nd International Conference on Smart Energy Systems and Technologies,,,
Settler Colonial Studies,,,
Set-Valued and Variational Analysis,,,
Seventeenth Century,,,
Sewanee Review,,,
Sex Education,,,
Sex Roles,,,
Sexologies,,,
Sexual Abuse: Journal of Research and Treatment,,,
Sexual Addiction and Compulsivity,,,
Sexual and Relationship Therapy,,,
Sexual and Reproductive Health Matters,,,
Sexual and Reproductive Healthcare,,,
Sexual Development,,,
Sexual Health,,,
Sexual Medicine,,,
Sexual Medicine Reviews,,,
Sexualities,,,
Sexuality and Culture,,,
Sexuality and Disability,,,
Sexuality Research and Social Policy,,,
Sexually Transmitted Diseases,,,
Sexually Transmitted Infections,,,
Seybold Report,,,
Shagi/ Steps,,,
Shakespeare,,,
Shakespeare Quarterly,,,
Shakespeare Studies,,,
Shaman,,,
Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University,,,
Shanghai kou qiang yi xue = Shanghai journal of stomatology,,,
Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science and Technology,,,
Shape Memory and Superelasticity,,,
SHAW,,,
She Ji,,,
Shedet,,,
"Shell Structures: Theory and Applications Volume 4 - Proceedings of the 11th International Conference on Shell Structures: Theory and Applications	 SSTA 2017",,,
Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,,,
Shengwu Yixue Gongchengxue Zazhi/Journal of Biomedical Engineering,,,
Shengxue Xuebao/Acta Acustica,,,
Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology,,,
Shenyang Jianzhu Daxue Xuebao (Ziran Kexue Ban)/Journal of Shenyang Jianzhu University (Natural Science),,,
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,,,
Shi You Lian Zhi Yu Hua Gong/Petroleum Processing and Petrochemicals,,,
SHILAP Revista de lepidopterologia,,,
Shima,,,
Shinrigaku Kenkyu,,,
Ship Building of China,,,
Ship Technology Research,,,
Shipin Kexue/Food Science,,,
Shiprepair and Conversion Technology,,,
Ships and Offshore Structures,,,
Shiraz E Medical Journal,,,
Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics,,,
Shiyou Diqiu Wuli Kantan/Oil Geophysical Prospecting,,,
Shiyou Huagong Gaodeng Xuexiao Xuebao/Journal of Petrochemical Universities,,,
Shiyou Huagong Shebei/ Petro-Chemical Equipment,,,
Shiyou Huagong/Petrochemical Technology,,,
Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,,,
Shiyou Xuebao/Acta Petrolei Sinica,,,
"SHMII 2017 - 8th International Conference on Structural Health Monitoring of Intelligent Infrastructure	 Proceedings",,,
Shock,,,
Shock and Vibration,,,
Shock Waves,,,
Shofar,,,
Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,,,
Short Film Studies,,,
Shoulder and Elbow,,,
Showa Igakkai zasshi = The Journal of the Showa Medical Association,,,
Shu Ju Cai Ji Yu Chu Li/Journal of Data Acquisition and Processing,,,
Shuidonglixue Yanjiu yu Jinzhan/Chinese Journal of Hydrodynamics Ser. A,,,
Shuikexue Jinzhan/Advances in Water Science,,,
Shuili Fadian Xuebao/Journal of Hydroelectric Engineering,,,
Shuili Xuebao/Journal of Hydraulic Engineering,,,
"SIAM International Conference on Data Mining	 SDM 2018",,,
"SIAM International Conference on Data Mining	 SDM 2019",,,
SIAM Journal of Scientific Computing,,,
SIAM Journal on Applied Algebra and Geometry,,,
SIAM Journal on Applied Dynamical Systems,,,
SIAM Journal on Applied Mathematics,,,
SIAM Journal on Computing,,,
SIAM Journal on Control and Optimization,,,
SIAM Journal on Discrete Mathematics,,,
SIAM Journal on Financial Mathematics,,,
SIAM Journal on Imaging Sciences,,,
SIAM Journal on Mathematical Analysis,,,
SIAM Journal on Matrix Analysis and Applications,,,
SIAM Journal on Numerical Analysis,,,
SIAM Journal on Optimization,,,
SIAM Review,,,
SIAM-ASA Journal on Uncertainty Quantification,,,
Siberian Advances in Mathematics,,,
Siberian Electronic Mathematical Reports,,,
Siberian Historical Research,,,
Siberian Journal of Oncology,,,
Siberian Mathematical Journal,,,
"SIBIRCON 2019 - International Multi-Conference on Engineering	 Computer and Information Sciences	 Proceedings",,,
Sibirica,,,
Sibirskii Filologicheskii Zhurnal,,,
Sibirskiy Psikhologicheskiy Zhurnal,,,
SICOT-J,,,
Side Effects of Drugs Annual,,,
SIdEWayS 2019 - Proceedings of the 5th International Workshop on Social Media World Sensors,,,
SIGCOMM 2017 -  Proceedings of the 2017 Conference of the ACM Special Interest Group on Data Communication,,,
SIGCOMM 2018 - Proceedings of the 2018 Conference of the ACM Special Interest Group on Data Communication,,,
"SIGCOMM 2018 - Proceedings of the 2018 Posters and Demos	 Part of SIGCOMM 2018",,,
"SIGCOMM 2019 - Proceedings of the 2019 ACM SIGCOMM Conference Posters and Demos	 Part of SIGCOMM 2019",,,
SIGCOMM 2019 - Proceedings of the 2019 Conference of the ACM Special Interest Group on Data Communication,,,
"SIGCOMM Posters and Demos 2017 - Proceedings of the 2017 SIGCOMM Posters and Demos	 Part of SIGCOMM 2017",,,
SIGCSE 2019 - Proceedings of the 50th ACM Technical Symposium on Computer Science Education,,,
SIGDOC 2017 - 35th ACM International Conference on the Design of Communication,,,
SIGDOC 2018 - 36th ACM International Conference on the Design of Communication,,,
SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication,,,
"SIGGRAPH Asia 2017 Emerging Technologies	 SA 2017",,,
"SIGGRAPH Asia 2017 Posters	 SA 2017",,,
"SIGGRAPH Asia 2017 Symposium on Education	 SA 2017",,,
"SIGGRAPH Asia 2017 Symposium on Visualization	 SA 2017",,,
"SIGGRAPH Asia 2017 Technical Briefs	 SA 2017",,,
"SIGGRAPH Asia 2017 VR Showcase	 SA 2017",,,
"SIGGRAPH Asia 2017 Workshops	 SA 2017",,,
"SIGGRAPH Asia 2018 Art Gallery	 SA 2018",,,
"SIGGRAPH Asia 2018 Courses	 SIGGRAPH Asia 2018",,,
"SIGGRAPH Asia 2018 Emerging Technologies	 SIGGRAPH Asia 2018",,,
"SIGGRAPH Asia 2018 Posters	 SA 2018",,,
"SIGGRAPH Asia 2018 Technical Briefs	 SA 2018",,,
"SIGGRAPH Asia 2018 Technical Papers	 SIGGRAPH Asia 2018",,,
"SIGGRAPH Asia 2018 Virtual and Augmented Reality	 SA 2018",,,
"SIGGRAPH Asia 2019 Courses	 SA 2019",,,
"SIGGRAPH Asia 2019 Doctoral Consortium	 SA 2019",,,
"SIGGRAPH Asia 2019 Emerging Technologies	 SA 2019",,,
"SIGGRAPH Asia 2019 Posters	 SA 2019",,,
"SIGGRAPH Asia 2019 Technical Briefs	 SA 2019",,,
"SIGGRAPH Asia 2019 XR	 SA 2019",,,
"SIGGRAPH ASIA Art Gallery/Art Papers	 SA 2019",,,
Sight and Sound,,,
SIGIR 2017 - Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,,,
SIGIR 2019 - Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval,,,
SIGITE 2017 - Proceedings of the 18th Annual Conference on Information Technology Education,,,
SIGITE 2018 - Proceedings of the 19th Annual SIG Conference on Information Technology Education,,,
SIGITE 2019 - Proceedings of the 20th Annual Conference on Information Technology Education,,,
Siglo Cero,,,
"Siglo XXI	 Literatura y Cultura Espanolas",,,
SIGMETRICS 2017 Abstracts - Proceedings of the 2017 ACM SIGMETRICS / International Conference on Measurement and Modeling of Computer Systems,,,
SIGMETRICS 2018 - Abstracts of the 2018 ACM International Conference on Measurement and Modeling of Computer Systems,,,
SIGMETRICS Performance 2019 - Abstracts of the 2019 SIGMETRICS/Performance Joint International Conference on Measurement and Modeling of Computer Systems,,,
SIGMIS-CPR 2017 - Proceedings of the 2017 ACM SIGMIS Conference on Computers and People Research,,,
SIGMIS-CPR 2018 - Proceedings of the 2018 ACM SIGMIS Conference on Computers and People Research,,,
SIGMIS-CPR 2019 - Proceedings of the 2019 Computers and People Research Conference,,,
SIGMOD Record,,,
Sign Language and Linguistics (Online),,,
Sign Language Studies,,,
Sign Systems Studies,,,
Signa,,,
Signa Vitae,,,
Signal Processing,,,
"Signal Processing - Algorithms	 Architectures	 Arrangements	 and Applications Conference Proceedings	 SPA",,,
Signal Processing: Image Communication,,,
Signal Transduction and Targeted Therapy,,,
"Signal	 Image and Video Processing",,,
Signals and Communication Technology,,,
Significance,,,
Signo y Pensamiento,,,
Signos Filosoficos,,,
Signos Historicos,,,
Signs,,,
Signs and Society,,,
SIGSIM-PADS 2017 - Proceedings of the 2017 ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,,
SIGSIM-PADS 2018 - Proceedings of the 2018 ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,,
SIGSIM-PADS 2019 - Proceedings of the 2019 ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,,
Sigurnost,,,
SII 2016 - 2016 IEEE/SICE International Symposium on System Integration,,,
"SIIE 2018 - 2018 International Symposium on Computers in Education	 Proceedings",,,
"Sikh Formations: Religion	 Culture	 Theory",,,
Silicon,,,
Silicon Semiconductor,,,
Silva Fennica,,,
Silva Gabreta,,,
Silvae Genetica,,,
Simiolus,,,
Simulation,,,
Simulation and Gaming,,,
Simulation in Healthcare,,,
Simulation Modelling Practice and Theory,,,
Simulation Series,,,
"SIMULTECH 2017 - Proceedings of the 7th International Conference on Simulation and Modeling Methodologies	 Technologies and Applications",,,
"SIMULTECH 2018 - Proceedings of 8th International Conference on Simulation and Modeling Methodologies	 Technologies and Applications",,,
"SIMULTECH 2019 - Proceedings of the 9th International Conference on Simulation and Modeling Methodologies	 Technologies and Applications",,,
Sinapse,,,
Singapore Academy of Law Journal,,,
Singapore Dental Journal,,,
Singapore Economic Review,,,
Singapore Journal of Legal Studies,,,
Singapore Journal of Tropical Geography,,,
Singapore Medical Journal,,,
Sinica Leidensia,,,
Sinn und Form,,,
Sino-Christian Studies,,,
Sintagma,,,
SiRF 2017 - 2017 IEEE 17th Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems,,,
Siriraj Medical Journal,,,
SiSal Journal,,,
Sistema,,,
Sistemi Intelligenti,,,
"SISY 2017 - IEEE 15th International Symposium on Intelligent Systems and Informatics	 Proceedings",,,
"SISY 2018 - IEEE 16th International Symposium on Intelligent Systems and Informatics	 Proceedings",,,
Situations,,,
Sixteenth Century Journal,,,
"Sixties	 The",,,
Sjuttonhundratal,,,
SKASE Journal of Theoretical Linguistics,,,
SKASE Journal of Translation and Interpretation,,,
Skeletal Muscle,,,
Skeletal Radiology,,,
"SKIMA 2016 - 2016 10th International Conference on Software	 Knowledge	 Information Management and Applications",,,
Skin Appendage Disorders,,,
Skin Pharmacology and Physiology,,,
Skin Research,,,
Skin Research and Technology,,,
Skin therapy letter,,,
Skinmed,,,
Sklifosovsky Journal Emergency Medical Care,,,
SKY Journal of Linguistics,,,
SLAS Discovery,,,
SLAS Technology,,,
Slavery and Abolition,,,
Slavia,,,
Slavia Centralis,,,
Slavia Meridionalis,,,
Slavia Orientalis,,,
Slavic and East European Information Resources,,,
Slavic and East European Journal,,,
Slavic Review,,,
Slavica Slovaca,,,
Slavisticna Revija,,,
Slavonic and East European Review,,,
Slavonica,,,
"SLE 2017 - Proceedings of the 10th ACM SIGPLAN International Conference on Software Language Engineering	 co-located with SPLASH 2017",,,
"SLE 2018 - Proceedings of the 11th ACM SIGPLAN International Conference on Software Language Engineering	 co-located with SPLASH 2018",,,
"SLE 2019 - Proceedings of the 12th ACM SIGPLAN International Conference on Software Language Engineering	 co-located with SPLASH 2019",,,
Sleep,,,
Sleep and Biological Rhythms,,,
Sleep and Breathing,,,
Sleep and Hypnosis,,,
Sleep Disorders,,,
Sleep Health,,,
Sleep Medicine,,,
Sleep Medicine Clinics,,,
Sleep Medicine Research,,,
Sleep Medicine Reviews,,,
Sleep Medicine: X,,,
Sleep Science,,,
Slovak Journal of Political Sciences,,,
Slovak Raptor Journal,,,
Slovansky prehled,,,
Slovene,,,
Slovenian Veterinary Research,,,
Slovenscina 2.0,,,
Slovenska Archeologia,,,
Slovenska Literatura,,,
Slovenska Rec,,,
Slovenske Divadlo,,,
Slovenski Jezik,,,
Slovo,,,
Slovo (Leeds),,,
Slovo a Slovesnost,,,
Slovo a Smysl,,,
"SMACD 2017 - 14th International Conference on Synthesis	 Modeling	 Analysis and Simulation Methods and Applications to Circuit Design",,,
"SMACD 2018 - 15th International Conference on Synthesis	 Modeling	 Analysis and Simulation Methods and Applications to Circuit Design",,,
"SMACD 2019 - 16th International Conference on Synthesis	 Modeling	 Analysis and Simulation Methods and Applications to Circuit Design	 Proceedings",,,
Small,,,
Small Axe,,,
Small Business Economics,,,
Small Group Research,,,
Small GTPases,,,
Small Methods,,,
Small Ruminant Research,,,
Small Wars and Insurgencies,,,
Small-scale Forestry,,,
Smart and Sustainable Built Environment,,,
Smart and Sustainable Manufacturing Systems,,,
Smart City 360 2016 - 2nd EAI International Summit,,,
Smart Dams and Reservoirs - Proceedings of the 20th Biennial Conference of the British Dam Society,,,
"Smart Grid Conference	 SGC 2015",,,
Smart Health,,,
"Smart Innovation	 Systems and Technologies",,,
Smart Learning Environments,,,
Smart Materials and Structures,,,
Smart Science,,,
Smart Structures and Systems,,,
"Smart SysTech 2017 - European Conference on Smart Objects	 Systems and Technologies",,,
"Smart SysTech 2018 - European Conference on Smart Objects	 Systems and Technologies",,,
"Smart SysTech 2019 - European Conference on Smart Objects	 Systems and Technologies",,,
"Smart Systems Integration 2017 - International Conference and Exhibition on Integration Issues of Miniaturized Systems	 SSI 2017",,,
Smart Systems Integration 2018 - International Conference and Exhibition on Integration Issues of Miniaturized Systems,,,
SMARTGREENS 2017 - Proceedings of the 6th International Conference on Smart Cities and Green ICT Systems,,,
SMARTGREENS 2019 - Proceedings of the 8th International Conference on Smart Cities and Green ICT Systems,,,
SmartIoT  2017 - Proceedings of the Workshop on Smart Internet of Things,,,
"SmartLearn 2017 - Proceedings of the 2017 ACM Workshop on Intelligent Interfaces for Ubiquitous and Smart Learning	 co-located with IUI 2017",,,
"SmartObject 2017 - Proceedings of the 2017 ACM Workshop on Interacting with Smart Objects	 co-located with IUI 2017",,,
"SMARTOBJECTS 2017 - Proceedings of the 3rd Workshop on Experiences with the Design and Implementation of Smart Objects	 co-located with MobiCom 2017",,,
"SMC 2016 - 13th Sound and Music Computing Conference	 Proceedings",,,
SME Annual Conference and Expo 2017: Creating Value in a Cyclical Environment,,,
Smith College Studies in Social Work,,,
Smithsonian,,,
SMPTE 2017: Embracing Connective Media,,,
SMPTE 2018,,,
SMPTE Motion Imaging Journal,,,
SMSIS 2017 - Proceedings of the 12th International Conference on Strategic Management and its Support by Information Systems 2017,,,
SMSIS 2019 - Proceedings of the 13th International Conference on Strategic Management and Its Support by Information Systems,,,
SMT Surface Mount Technology Magazine,,,
"SNAME 23rd Chesapeake Sailing Yacht Symposium	 CSYS 2019",,,
SNAME 24th Offshore Symposium,,,
"SNAME Maritime Convention	 SMC 2018",,,
SNR 2019 - Proceedings of the 5th International Workshop on Symbolic-Numeric Methods for Reasoning about CPS and IoT,,,
"SNTA 2019 - Proceedings of the ACM Workshop on Systems and Network Telemetry and Analytics	 co-located with HPDC 2019",,,
"SOAP 2017 - Proceedings of the 6th ACM SIGPLAN International Workshop on State of the Art in Program Analysis	 co-located with PLDI 2017",,,
Sobornost Incorporating Eastern Churches Review,,,
SOCAR Proceedings,,,
SoCC 2017 - Proceedings of the 2017 Symposium on Cloud Computing,,,
SoCC 2018 - Proceedings of the 2018 ACM Symposium on Cloud Computing,,,
Soccer and Society,,,
Social Analysis,,,
Social and Critical Theory,,,
Social and Cultural Geography,,,
Social and Economic Studies,,,
Social and Environmental Accountability Journal,,,
Social and Legal Studies,,,
Social and Personality Psychology Compass,,,
Social Anthropology,,,
Social Behavior and Personality,,,
Social Choice and Welfare,,,
Social Cognition,,,
Social Cognitive and Affective Neuroscience,,,
Social Compass,,,
Social Currents,,,
Social Development,,,
Social Dynamics,,,
Social Enterprise Journal,,,
Social Epistemology,,,
Social Evolution and History,,,
Social Forces,,,
Social History,,,
"social history of alcohol and drugs	 The",,,
Social History of Medicine,,,
Social Identities,,,
Social Inclusion,,,
Social Indicators Research,,,
Social Influence,,,
Social Issues and Policy Review,,,
Social Justice Research,,,
Social Marketing Quarterly,,,
Social Media and Society,,,
Social Medicine,,,
Social Movement Studies,,,
Social Network Analysis and Mining,,,
Social Networks,,,
Social Neuroscience,,,
Social Philosophy and Policy,,,
Social Policy and Administration,,,
Social Policy and Society,,,
Social Politics,,,
Social Problems,,,
Social Psychiatry and Psychiatric Epidemiology,,,
Social Psychological and Personality Science,,,
Social Psychology,,,
Social Psychology of Education,,,
Social Psychology Quarterly,,,
Social Research,,,
Social Responsibility Journal,,,
Social Science and Medicine,,,
Social Science Computer Review,,,
Social Science History,,,
Social Science Information,,,
Social Science Japan Journal,,,
Social Science Journal,,,
Social Science Quarterly,,,
Social Science Research,,,
Social Sciences,,,
Social Sciences and Missions,,,
Social Sciences in China,,,
Social Security Bulletin,,,
Social Semiotics,,,
Social Service Review,,,
Social Studies of Science,,,
Social Text,,,
Social Theory and Health,,,
Social Work,,,
Social Work and Social Sciences Review,,,
Social Work and Society,,,
Social Work Education,,,
Social Work in Health Care,,,
Social Work in Mental Health,,,
Social Work in Public Health,,,
Social Work Research,,,
Social Work with Groups,,,
Social Work/Maatskaplike Werk,,,
Socialism and Democracy,,,
Socialni Prace,,,
Socialni Studia,,,
SocialSense 2019 - Proceedings of the 2019 4th International Workshop on Social Sensing,,,
Sociedad Espanola de Estudios Renacentistas Ingleses,,,
Sociedade e Cultura,,,
Sociedade e Estado,,,
Societa e storia,,,
Societate si Politica,,,
Societes,,,
Societes Contemporaines,,,
Society,,,
Society and Animals,,,
Society and Economy,,,
Society and Mental Health,,,
Society and Natural Resources,,,
"Society of Exploration Geophysicists - SEG International Exposition and 76tth Annual Meeting 2006	 SEG 2006",,,
"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2018	 ADIPEC 2018",,,
"Society of Petroleum Engineers - IADC/SPE Managed Pressure Drilling and Underbalanced Operations Conference and Exhibition 2019	 MPDU 2019",,,
Society of Petroleum Engineers - Nigeria Annual International Conference and Exhibition 2017,,,
"Society of Petroleum Engineers - PAPG/SPE Pakistan Section Annual Technical Conference and Exhibition 2018	 PATC 2018",,,
"Society of Petroleum Engineers - SPE Annual Caspian Technical Conference 2019	 CTC 2019",,,
Society of Petroleum Engineers - SPE Annual Caspian Technical Conference and Exhibition 2017,,,
"Society of Petroleum Engineers - SPE Annual Caspian Technical Conference and Exhibition 2018	 CTCE 2018",,,
Society of Petroleum Engineers - SPE Argentina Exploration and Production of Unconventional Resources Symposium 2018,,,
Society of Petroleum Engineers - SPE Artificial Lift Conference and Exhibition - Americas 2018,,,
"Society of Petroleum Engineers - SPE Asia Pacific Health	 Safety	 Security	 Environment and Social Responsibility Conference 2017",,,
"Society of Petroleum Engineers - SPE Asia Pacific Oil and Gas Conference and Exhibition 2003	 APOGCE 2003",,,
"Society of Petroleum Engineers - SPE Asia Pacific Oil and Gas Conference and Exhibition 2018	 APOGCE 2018",,,
Society of Petroleum Engineers - SPE Bergen One Day Seminar 2017,,,
Society of Petroleum Engineers - SPE Canada Heavy Oil Technical Conference 2017,,,
Society of Petroleum Engineers - SPE Electric Submersible Pump Symposium 2017,,,
Society of Petroleum Engineers - SPE Europec Featured at 79th EAGE Conference and Exhibition,,,
Society of Petroleum Engineers - SPE Europec featured at 80th EAGE Conference and Exhibition 2018,,,
"Society of Petroleum Engineers - SPE Gas and Oil Technology Showcase and Conference 2019	 GOTS 2019",,,
"Society of Petroleum Engineers - SPE Gulf Coast Section Electric Submersible Pumps Symposium 2019	 ESP 2019",,,
"Society of Petroleum Engineers - SPE Gulf Coast Section/ICoTA North American Coiled Tubing Roundtable	 CTR 1996",,,
"Society of Petroleum Engineers - SPE Health	 Safety	 Security	 Environment	 and Social Responsibility Conference - North America 2017",,,
Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2017,,,
"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2018	 HFTC 2018",,,
"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2019	 HFTC 2019",,,
"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2020	 HFTC 2020",,,
Society of Petroleum Engineers - SPE Intelligent Oil and Gas Symposium 2017,,,
"Society of Petroleum Engineers - SPE International Conference and Exhibition on Health	 Safety	 Security	 Environment	 and Social Responsibility 2018",,,
"Society of Petroleum Engineers - SPE International Heavy Oil Conference and Exhibition 2018	 HOCE 2018",,,
"Society of Petroleum Engineers - SPE International Hydraulic Fracturing Technology Conference and Exhibition 2018	 IHFT 2018",,,
Society of Petroleum Engineers - SPE International Oilfield Corrosion Conference and Exhibition 2018,,,
